trade_date,stock_id,open,high,low,close,volume,amount,ma_5,ma_10,ma_20,ma_60,ma_120,ma_240,rsi_6,rsi_14,macd_dif,macd_dea,macd_hist,dmi_pdi,dmi_mdi,dmi_adx,dmi_adxr,bb_upper,bb_mid,bb_lower,vol_ma5,vol_ma20,vol_ratio,vwap
2026-01-19,0050,71.7,72.8,71.45,72.6,122970595.0,8839245132.0,71.34,70.725,67.8775,64.31416666666668,59.89666666666667,102.01291666666665,96.6101694915256,89.30481283422459,2.3018478369498894,1.9866800454101263,0.31516779153976304,48.5908485476637,12.761269718575866,40.211359179108285,,74.46540558523449,67.8775,61.2895944147655,102276722.4,99075071.9,1.202332183847925,71.88096578698347
2026-01-19,0051,100.7,102.8,100.7,102.7,177095.0,18124607.0,99.91,97.80999999999999,94.51,91.59166666666667,87.68333333333334,80.90666666666668,100.0,92.2509225092251,2.748504119374104,1.9144376080368952,0.8340665113372088,53.34147233238766,10.124366050468687,36.660594022276236,,102.31361589602031,94.51,86.7063841039797,109692.4,87178.5,1.6144691883849749,102.34397922019255
2026-01-19,0052,41.81,42.7,41.64,42.48,73592730.0,3094268693.0,41.647999999999996,41.251,39.30800000000001,120.56583333333334,167.58541666666667,170.09575,89.22413793103448,88.48484848484841,-10.453468742246415,-15.438191754791626,4.984723012545212,20.59610390416669,62.2485315090373,65.72882388525301,,43.80535173537552,39.30800000000001,34.8106482646245,62969909.0,50825527.75,1.168696781823204,42.04584736834739
2026-01-19,0053,156.1,157.45,155.35,157.1,25133.0,3931767.0,154.04,152.33499999999998,145.945,139.38250000000002,130.02625,114.15958333333333,91.25000000000011,90.00000000000001,5.017716572922751,4.148050777053422,0.869665795869329,47.91761149298345,15.331143755022438,35.552727338158746,,160.76131035823732,145.945,131.12868964176266,18486.2,23878.95,1.3595546948534583,156.43842756535233
2026-01-19,0055,32.27,32.72,32.24,32.53,171549.0,5571057.0,32.136,32.048,32.083,31.003666666666668,30.667333333333335,29.461916666666664,84.70588235294096,62.19512195121946,0.3070122242274529,0.32480816959070613,-0.01779594536325324,35.63824677899034,13.096212555847897,30.188996914641244,,32.46645246051172,32.083,31.69954753948828,162486.2,208288.05,1.0557758135767836,32.475018799293494
2026-01-19,0056,38.26,38.47,38.18,38.42,82058239.0,3147442014.0,38.077999999999996,37.775,37.242,36.62966666666667,36.23533333333333,35.453833333333336,100.0,88.23529411764716,0.4734746899689526,0.35858592814928375,0.11488876181966884,44.71049124942489,12.850599372956584,30.188540506238507,,38.49343454525345,37.242,35.990565454746545,63273939.6,50025786.6,1.2968726069334238,38.356197407550994
2026-01-19,0057,208.55,211.05,208.55,211.05,17052.0,3561666.0,207.52999999999997,205.89000000000001,198.02749999999997,187.99083333333334,175.82416666666668,156.68249999999998,96.96969696969697,89.66861598440545,6.3990887407294395,5.526621403458684,0.8724673372707556,55.98116282496325,14.011828821369782,40.49545670215874,,216.2988890521403,198.02749999999997,179.75611094785964,21361.0,26137.7,0.7982772342118815,208.87086558761436
2026-01-19,0061,23.81,23.88,23.61,23.71,329832.0,7830026.0,23.874,23.866999999999997,23.488,22.765666666666668,21.798916666666667,20.218666666666667,42.46575342465754,63.800904977375595,0.32672775153445954,0.337658098051393,-0.010930346516933476,29.017277808705057,22.235019524182448,15.102808495721275,,24.316990508484437,23.488,22.65900949151556,564141.4,469143.55,0.584661930501821,23.739437046738946
2026-01-19,1101,25.0,26.45,24.9,26.2,80518853.0,2093568083.0,25.22,24.48,23.7075,22.606666666666666,,,100.0,80.8510638297872,0.7615431126550831,0.5291327133384843,0.2324103993165988,43.30643985983174,6.50365834243452,40.80497115151434,,25.85551622065833,23.7075,21.55948377934167,56785383.6,37429114.6,1.4179503226953634,26.000967537379104
2026-01-19,1102,36.6,37.05,36.5,36.8,10104559.0,371351553.0,36.959999999999994,37.035,36.935,37.25333333333333,37.52208333333333,40.285625,39.28571428571412,50.0,-0.12054497800062336,-0.10556148833930083,-0.014983489661322527,14.238943420640837,18.60389240342438,14.145912455780172,,37.895317929810055,36.935,35.97468207018995,7193821.6,13661136.3,1.4046162890667182,36.750891651976104
